epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,259.524,0.79809,1.78432,1.44636,0.54206,0.71678,0.65152,0.5972,0.43007,1.17231,1.16602,2.9614e-05,2.9614e-05,2.9614e-05
41,277.609,0.6062,1.80945,1.35816,0.49396,0.75919,0.63558,0.57617,0.44916,1.22134,1.16061,2.704e-05,2.704e-05,2.704e-05
42,283.754,0.58204,1.7592,1.3204,0.4893,0.77369,0.635,0.58007,0.43191,1.19977,1.13698,2.4466e-05,2.4466e-05,2.4466e-05
43,289.972,0.56384,1.6972,1.29928,0.49769,0.77324,0.66294,0.60409,0.43696,1.17211,1.14361,2.1892e-05,2.1892e-05,2.1892e-05
44,296.155,0.5781,1.6967,1.32612,0.52087,0.72561,0.6497,0.59415,0.42744,1.16069,1.12599,1.9318e-05,1.9318e-05,1.9318e-05
45,302.388,0.55093,1.6595,1.29899,0.53061,0.75328,0.66717,0.6096,0.42302,1.12398,1.12881,1.6744e-05,1.6744e-05,1.6744e-05
46,308.555,0.53164,1.60398,1.27853,0.5425,0.74633,0.67347,0.61833,0.41338,1.13652,1.1224,1.417e-05,1.417e-05,1.417e-05
47,314.738,0.55207,1.63998,1.28578,0.55407,0.75404,0.6699,0.61519,0.41636,1.12865,1.12008,1.1596e-05,1.1596e-05,1.1596e-05
48,321.102,0.52674,1.61074,1.26129,0.55878,0.74517,0.67477,0.62117,0.40848,1.1137,1.11218,9.022e-06,9.022e-06,9.022e-06
49,327.341,0.52112,1.56768,1.24985,0.55611,0.7688,0.68806,0.63482,0.40788,1.10095,1.11227,6.448e-06,6.448e-06,6.448e-06
50,333.554,0.53086,1.6201,1.25441,0.54312,0.76789,0.68257,0.63236,0.40317,1.10327,1.10699,3.874e-06,3.874e-06,3.874e-06
