epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.132,0.66196,3.73668,1.09177,0.0186,0.44168,0.04484,0.04136,0.41995,3.68571,0.93599,0.0675077,0.000328205,0.000328205
2,251.707,0.51061,2.68546,0.98479,0.4037,0.35017,0.19436,0.18146,0.36955,2.50985,0.90974,0.0344983,0.000652182,0.000652182
3,376.451,0.49893,2.26246,0.96061,0.46672,0.35308,0.2232,0.2092,0.39318,2.67058,0.89682,0.00147955,0.000966731,0.000966731
4,502.043,0.46485,1.97408,0.94937,0.40693,0.39138,0.28122,0.27123,0.30674,2.03692,0.84953,0.000957571,0.000957571,0.000957571
5,626.659,0.43024,1.70603,0.93249,0.46954,0.43555,0.39574,0.35989,0.39479,1.81873,0.92745,0.000943429,0.000943429,0.000943429
6,750.716,0.43507,1.5704,0.92882,0.56747,0.53772,0.54717,0.53201,0.29759,1.39243,0.84679,0.000929286,0.000929286,0.000929286
7,875.457,0.40719,1.38903,0.91691,0.4364,0.60019,0.52451,0.51404,0.27515,1.39623,0.83593,0.000915143,0.000915143,0.000915143
8,999.893,0.39708,1.23152,0.9082,0.60331,0.63519,0.70399,0.68178,0.29468,1.02087,0.84341,0.000901,0.000901,0.000901
9,1123.15,0.39427,1.05384,0.90861,0.76342,0.62373,0.75635,0.73899,0.27087,0.94136,0.83291,0.000886857,0.000886857,0.000886857
10,1248.77,0.38884,0.98156,0.91125,0.64432,0.76232,0.78613,0.77471,0.24342,0.76543,0.81697,0.000872714,0.000872714,0.000872714
11,1372.62,0.35868,0.86512,0.89205,0.78273,0.79761,0.85815,0.84619,0.23052,0.6523,0.81238,0.000858571,0.000858571,0.000858571
12,1497.31,0.35341,0.77657,0.88586,0.8047,0.82846,0.88452,0.86644,0.25259,0.56653,0.82466,0.000844429,0.000844429,0.000844429
13,1622.05,0.35672,0.71232,0.88745,0.89524,0.8663,0.92302,0.90294,0.2497,0.48823,0.82241,0.000830286,0.000830286,0.000830286
14,1747.96,0.34419,0.68282,0.88245,0.84866,0.79836,0.91162,0.89786,0.22854,0.53118,0.8098,0.000816143,0.000816143,0.000816143
15,1871.07,0.34758,0.66284,0.88574,0.55065,0.71515,0.73666,0.7091,0.31628,1.17129,0.84333,0.000802,0.000802,0.000802
16,1995.39,0.33537,0.60875,0.8819,0.88227,0.90921,0.96159,0.94541,0.24468,0.40067,0.81531,0.000787857,0.000787857,0.000787857
17,2120.29,0.32887,0.56554,0.87306,0.9168,0.89981,0.95615,0.9464,0.23174,0.37833,0.80854,0.000773714,0.000773714,0.000773714
18,2244.56,0.32545,0.53811,0.87286,0.94342,0.91208,0.97065,0.95703,0.2298,0.33427,0.81278,0.000759571,0.000759571,0.000759571
