epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1191.33,0.15111,0.14888,0.75121,0.96982,0.95388,0.99166,0.97081,0.18207,0.22625,0.76301,0.007921,0.007921,0.007921
44,1218.53,0.15284,0.14836,0.75207,0.96196,0.95745,0.98415,0.96501,0.18645,0.24539,0.76391,0.0078715,0.0078715,0.0078715
45,1245.71,0.15442,0.14969,0.75239,0.96634,0.96301,0.99051,0.96939,0.18956,0.22289,0.7639,0.007822,0.007822,0.007822
46,1272.66,0.15291,0.15047,0.75247,0.94866,0.9699,0.98858,0.97038,0.18382,0.23683,0.76529,0.0077725,0.0077725,0.0077725
47,1299.57,0.15082,0.14823,0.75214,0.95861,0.96359,0.98877,0.97063,0.17827,0.22278,0.76388,0.007723,0.007723,0.007723
48,1326.57,0.14249,0.14645,0.75076,0.95849,0.97728,0.98773,0.97079,0.17028,0.23696,0.76271,0.0076735,0.0076735,0.0076735
49,1353.44,0.14244,0.14103,0.75022,0.94321,0.96861,0.99002,0.97342,0.17246,0.25447,0.76313,0.007624,0.007624,0.007624
50,1380.48,0.14485,0.1426,0.75129,0.95947,0.97219,0.98944,0.96935,0.18176,0.22608,0.76375,0.0075745,0.0075745,0.0075745
51,1407.4,0.14827,0.13985,0.75162,0.95743,0.97262,0.98871,0.97104,0.17163,0.21625,0.7624,0.007525,0.007525,0.007525
52,1434.38,0.13732,0.13503,0.75006,0.95281,0.95793,0.98871,0.96786,0.17034,0.21829,0.76223,0.0074755,0.0074755,0.0074755
53,1461.26,0.13202,0.13066,0.74952,0.96443,0.9708,0.99006,0.9727,0.159,0.22304,0.76005,0.007426,0.007426,0.007426
54,1488.09,0.12895,0.1337,0.74954,0.95139,0.96304,0.9868,0.96709,0.16919,0.24037,0.76325,0.0073765,0.0073765,0.0073765
55,1515.06,0.13275,0.13424,0.74939,0.95175,0.96363,0.98811,0.96993,0.16926,0.22957,0.76226,0.007327,0.007327,0.007327
56,1541.91,0.13073,0.13414,0.74852,0.9603,0.9647,0.99213,0.97243,0.17067,0.21931,0.7613,0.0072775,0.0072775,0.0072775
57,1569.02,0.12863,0.13411,0.74866,0.96662,0.96233,0.99293,0.97708,0.15904,0.20157,0.75835,0.007228,0.007228,0.007228
58,1596.62,0.12178,0.12864,0.74879,0.93996,0.97974,0.99037,0.9767,0.15506,0.21159,0.75819,0.0071785,0.0071785,0.0071785
59,1623.5,0.12776,0.12967,0.74897,0.95533,0.98287,0.99238,0.97675,0.1648,0.20971,0.75869,0.007129,0.007129,0.007129
60,1650.57,0.12524,0.13063,0.7485,0.95718,0.96835,0.98937,0.97073,0.16658,0.21645,0.76166,0.0070795,0.0070795,0.0070795
61,1677.42,0.12568,0.12731,0.74892,0.95509,0.95829,0.98986,0.97295,0.16188,0.2324,0.76095,0.00703,0.00703,0.00703
62,1704.14,0.12617,0.12853,0.74864,0.95769,0.96559,0.99251,0.97562,0.16019,0.21639,0.76082,0.0069805,0.0069805,0.0069805
63,1730.9,0.12064,0.12393,0.74819,0.96751,0.96625,0.99184,0.97681,0.15882,0.21292,0.75957,0.006931,0.006931,0.006931
64,1757.86,0.11955,0.12354,0.74723,0.9502,0.97358,0.99005,0.97493,0.15344,0.23352,0.75921,0.0068815,0.0068815,0.0068815
65,1784.6,0.11928,0.12011,0.74734,0.96012,0.9576,0.99006,0.97346,0.16352,0.23228,0.76105,0.006832,0.006832,0.006832
66,1811.22,0.12767,0.12889,0.74892,0.94976,0.96911,0.98638,0.96996,0.16453,0.23777,0.75965,0.0067825,0.0067825,0.0067825
67,1838.08,0.1276,0.12855,0.74866,0.96546,0.96921,0.98762,0.97384,0.16178,0.21337,0.75957,0.006733,0.006733,0.006733
68,1864.81,0.12165,0.1237,0.74847,0.97672,0.95788,0.99443,0.97967,0.16144,0.19425,0.75815,0.0066835,0.0066835,0.0066835
69,1891.72,0.1223,0.12749,0.74786,0.96935,0.9512,0.99288,0.97805,0.15929,0.2224,0.75839,0.006634,0.006634,0.006634
70,1918.41,0.12143,0.12592,0.74806,0.97072,0.97608,0.99397,0.97923,0.15539,0.18548,0.75914,0.0065845,0.0065845,0.0065845
71,1945.26,0.11999,0.12256,0.74801,0.96408,0.97289,0.9932,0.97931,0.15607,0.20208,0.75924,0.006535,0.006535,0.006535
72,1971.89,0.11662,0.11837,0.74742,0.95326,0.98495,0.99284,0.97789,0.15213,0.18401,0.75821,0.0064855,0.0064855,0.0064855
73,1998.55,0.11249,0.11443,0.74716,0.96485,0.96892,0.99128,0.97784,0.14934,0.20157,0.75837,0.006436,0.006436,0.006436
74,2025.21,0.10612,0.11034,0.74597,0.96447,0.97551,0.99136,0.97832,0.14542,0.18289,0.75646,0.0063865,0.0063865,0.0063865
75,2052.05,0.10251,0.10755,0.74692,0.94973,0.9799,0.98867,0.97356,0.14301,0.18204,0.75747,0.006337,0.006337,0.006337
76,2078.85,0.09994,0.10448,0.74578,0.96243,0.96981,0.98855,0.9739,0.13946,0.17682,0.75738,0.0062875,0.0062875,0.0062875
77,2105.39,0.10181,0.10411,0.74573,0.9577,0.97336,0.98941,0.97543,0.13968,0.18034,0.75671,0.006238,0.006238,0.006238
78,2132.34,0.10161,0.10558,0.74558,0.97288,0.95988,0.993,0.97849,0.14091,0.16961,0.75566,0.0061885,0.0061885,0.0061885
79,2159.75,0.10546,0.10633,0.74545,0.96692,0.97044,0.99318,0.98286,0.14138,0.1836,0.75519,0.006139,0.006139,0.006139
80,2199.94,0.10248,0.10562,0.74612,0.97369,0.96627,0.99329,0.98212,0.13861,0.17719,0.75565,0.0060895,0.0060895,0.0060895
81,2229.64,0.09979,0.10011,0.74526,0.97363,0.9583,0.99206,0.9798,0.13804,0.17178,0.75657,0.00604,0.00604,0.00604
82,2258.46,0.09892,0.09979,0.74505,0.97154,0.95685,0.9926,0.97986,0.145,0.17607,0.75629,0.0059905,0.0059905,0.0059905
83,2289.79,0.09765,0.09996,0.74577,0.95726,0.97464,0.99183,0.97937,0.13848,0.17369,0.75609,0.005941,0.005941,0.005941
84,2325.74,0.09658,0.0983,0.74463,0.95185,0.96703,0.99025,0.97685,0.13808,0.19659,0.7562,0.0058915,0.0058915,0.0058915
85,2356.26,0.09413,0.09785,0.74434,0.9657,0.97311,0.99208,0.97894,0.13601,0.19486,0.75532,0.005842,0.005842,0.005842
86,2390.7,0.09223,0.09555,0.74447,0.96979,0.97347,0.99211,0.97846,0.13361,0.18501,0.75518,0.0057925,0.0057925,0.0057925
87,2421.77,0.0919,0.09559,0.74458,0.96928,0.97375,0.99211,0.97881,0.13464,0.18189,0.75527,0.005743,0.005743,0.005743
88,2451.96,0.09472,0.09602,0.74446,0.9569,0.97245,0.99157,0.97672,0.13441,0.20064,0.75544,0.0056935,0.0056935,0.0056935
89,2483.46,0.09276,0.09492,0.74442,0.94029,0.98016,0.99146,0.97886,0.13194,0.17237,0.75458,0.005644,0.005644,0.005644
90,2513.87,0.0929,0.09518,0.74547,0.95039,0.9749,0.99013,0.9762,0.13294,0.16971,0.75556,0.0055945,0.0055945,0.0055945
