epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.3375,0.63895,3.67783,0.93853,0.01485,0.45877,0.04309,0.03857,0.49252,3.45312,0.83647,0.0675077,0.000328205,0.000328205
2,105.102,0.51257,2.70754,0.89687,0.47083,0.31993,0.14842,0.14151,0.32273,2.68894,0.80346,0.0344983,0.000652182,0.000652182
3,157.649,0.4907,2.24955,0.88932,0.4669,0.33284,0.25558,0.23691,0.38212,2.04155,0.83834,0.00147955,0.000966731,0.000966731
4,210.316,0.46851,1.95025,0.88315,0.41647,0.50288,0.35293,0.33762,0.32639,1.71069,0.80907,0.000957571,0.000957571,0.000957571
5,261.912,0.43582,1.71716,0.8741,0.36777,0.63598,0.42336,0.41113,0.29204,1.55129,0.80308,0.000943429,0.000943429,0.000943429
6,314.108,0.43744,1.61652,0.87567,0.45242,0.61707,0.4568,0.4385,0.30413,1.45444,0.79876,0.000929286,0.000929286,0.000929286
7,365.826,0.41661,1.52141,0.86706,0.4633,0.62682,0.5096,0.49025,0.30377,1.40192,0.798,0.000915143,0.000915143,0.000915143
8,417.798,0.41603,1.43836,0.86373,0.39529,0.72474,0.53197,0.51352,0.27721,1.27085,0.79217,0.000901,0.000901,0.000901
9,469.709,0.39129,1.36808,0.86072,0.41029,0.66667,0.49894,0.48595,0.27747,1.38633,0.78736,0.000886857,0.000886857,0.000886857
10,521.253,0.38918,1.33954,0.86066,0.54331,0.66563,0.59439,0.58277,0.24799,1.11881,0.77959,0.000872714,0.000872714,0.000872714
11,572.58,0.36726,1.25975,0.85198,0.45795,0.81334,0.60896,0.59788,0.2506,1.12079,0.78104,0.000858571,0.000858571,0.000858571
12,624.802,0.37439,1.19305,0.85226,0.42771,0.76278,0.56692,0.54843,0.26188,1.21251,0.78225,0.000844429,0.000844429,0.000844429
13,676.142,0.36121,1.12511,0.84987,0.51513,0.78025,0.62503,0.60956,0.24213,1.22097,0.78154,0.000830286,0.000830286,0.000830286
14,727.374,0.36146,1.06613,0.84976,0.41348,0.6481,0.48763,0.47534,0.25634,1.50246,0.78111,0.000816143,0.000816143,0.000816143
15,777.527,0.34944,0.95862,0.84411,0.69775,0.71756,0.7959,0.78247,0.23407,0.74094,0.77686,0.000802,0.000802,0.000802
16,828.895,0.33183,0.89654,0.84155,0.65586,0.79502,0.81679,0.80321,0.24271,0.78263,0.78024,0.000787857,0.000787857,0.000787857
17,879.693,0.34201,0.83098,0.84682,0.49181,0.64448,0.59842,0.58599,0.26362,1.43044,0.78411,0.000773714,0.000773714,0.000773714
18,929.86,0.32961,0.75294,0.84051,0.75306,0.8156,0.88389,0.86732,0.2328,0.6349,0.77888,0.000759571,0.000759571,0.000759571
19,981.828,0.32572,0.7171,0.84101,0.63016,0.7872,0.81971,0.807,0.22001,0.9294,0.77422,0.000745429,0.000745429,0.000745429
20,1032.03,0.31879,0.68204,0.84091,0.89119,0.8245,0.92875,0.91167,0.23316,0.4452,0.77679,0.000731286,0.000731286,0.000731286
21,1084.32,0.32789,0.65137,0.84144,0.59657,0.80823,0.83317,0.82337,0.21591,0.79023,0.77491,0.000717143,0.000717143,0.000717143
22,1135.84,0.31724,0.62878,0.83828,0.84915,0.92752,0.96444,0.94602,0.24319,0.38345,0.77848,0.000703,0.000703,0.000703
23,1187.62,0.32863,0.63059,0.83747,0.57838,0.81039,0.82444,0.81431,0.21299,0.91221,0.77363,0.000688857,0.000688857,0.000688857
24,1238.58,0.31401,0.58611,0.83577,0.88851,0.89377,0.95859,0.94778,0.21499,0.37606,0.7724,0.000674714,0.000674714,0.000674714
25,1289.52,0.31208,0.57085,0.83813,0.91,0.92133,0.96867,0.95405,0.21953,0.33214,0.77504,0.000660571,0.000660571,0.000660571
26,1340.32,0.30581,0.52983,0.83578,0.9269,0.89654,0.97317,0.95756,0.22053,0.33892,0.77471,0.000646429,0.000646429,0.000646429
27,1391.72,0.31654,0.51008,0.83689,0.92601,0.90837,0.97576,0.9645,0.22256,0.31946,0.77415,0.000632286,0.000632286,0.000632286
28,1442.86,0.30484,0.49365,0.83611,0.95135,0.9121,0.98226,0.97019,0.20815,0.29264,0.77128,0.000618143,0.000618143,0.000618143
29,1493.44,0.31236,0.48065,0.83847,0.92237,0.93703,0.9764,0.96285,0.22601,0.30303,0.7756,0.000604,0.000604,0.000604
30,1543.54,0.29718,0.47394,0.83142,0.96513,0.90899,0.97161,0.96111,0.20166,0.28857,0.76968,0.000589857,0.000589857,0.000589857
31,1594.11,0.29223,0.45333,0.8313,0.96032,0.92412,0.98698,0.97488,0.21495,0.28258,0.77159,0.000575714,0.000575714,0.000575714
32,1645.12,0.30206,0.45884,0.83428,0.97046,0.91148,0.97728,0.96763,0.21201,0.27543,0.77162,0.000561571,0.000561571,0.000561571
33,1695.87,0.29651,0.44494,0.83679,0.97366,0.93933,0.98622,0.97789,0.20818,0.25126,0.77006,0.000547429,0.000547429,0.000547429
34,1747.34,0.29941,0.43196,0.83384,0.91697,0.97174,0.98736,0.97883,0.20594,0.23802,0.76991,0.000533286,0.000533286,0.000533286
35,1798.62,0.27569,0.38855,0.8297,0.93608,0.96521,0.98767,0.98064,0.19763,0.23614,0.76928,0.000519143,0.000519143,0.000519143
36,1849.85,0.29021,0.41072,0.83399,0.96224,0.93717,0.98767,0.9772,0.19973,0.2458,0.77006,0.000505,0.000505,0.000505
37,1899.75,0.27654,0.39751,0.82631,0.97154,0.9402,0.98794,0.98042,0.18939,0.23336,0.76696,0.000490857,0.000490857,0.000490857
38,1950.41,0.27718,0.38551,0.83029,0.97031,0.94004,0.98867,0.98482,0.19158,0.22538,0.76722,0.000476714,0.000476714,0.000476714
39,2001.4,0.27459,0.39732,0.82482,0.94793,0.96724,0.98798,0.9801,0.19578,0.22735,0.76756,0.000462571,0.000462571,0.000462571
40,2051.88,0.27467,0.38827,0.82404,0.95825,0.95848,0.9873,0.98031,0.19027,0.22463,0.76691,0.000448429,0.000448429,0.000448429
41,2102.62,0.27301,0.37258,0.8258,0.96318,0.96597,0.99029,0.98458,0.19352,0.21759,0.76802,0.000434286,0.000434286,0.000434286
