epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.6059,0.90945,3.44792,1.1056,0,0,0,0,3.46331,inf,25.1573,0.0770256,0.00984615,0.00984615
2,92.738,0.7581,2.63892,1.00572,0.31368,0.14916,0.02196,0.01282,1.9666,14.0091,3.05734,0.0534116,0.0195655,0.0195655
3,133.555,0.78157,2.47527,1.00654,0.01739,0.22853,0.03873,0.03178,0.87615,5.84907,1.41788,0.0295148,0.0290019,0.0290019
4,173.79,0.64182,2.26053,0.96127,0.55802,0.16084,0.12295,0.10597,0.61896,3.63156,0.99602,0.0287271,0.0287271,0.0287271
5,214.467,0.60309,2.11064,0.94835,0.46271,0.30863,0.14072,0.12346,0.53126,2.56067,0.94443,0.0283029,0.0283029,0.0283029
6,254.292,0.59912,2.08695,0.94438,0.31774,0.23964,0.13507,0.11651,0.57084,4.54124,0.98197,0.0278786,0.0278786,0.0278786
7,294.433,0.58138,1.98826,0.93023,0.20516,0.33299,0.1438,0.12941,0.47156,3.48275,0.90721,0.0274543,0.0274543,0.0274543
8,334.038,0.55385,1.87893,0.91643,0.30734,0.32928,0.17198,0.15053,0.60779,2.83171,1.0142,0.02703,0.02703,0.02703
9,374.336,0.52918,1.79713,0.91759,0.26882,0.30838,0.16012,0.14872,0.40604,2.72637,0.85122,0.0266057,0.0266057,0.0266057
10,415.35,0.53032,1.80617,0.91619,0.3433,0.45499,0.29501,0.2706,0.40848,1.94324,0.8703,0.0261814,0.0261814,0.0261814
11,455.815,0.51075,1.71162,0.90875,0.3091,0.51916,0.32437,0.30404,0.3752,1.93441,0.84258,0.0257571,0.0257571,0.0257571
12,496.405,0.49394,1.62259,0.89905,0.22824,0.42864,0.22221,0.20567,0.39398,2.20666,0.86257,0.0253329,0.0253329,0.0253329
13,537.312,0.49302,1.59892,0.89349,0.28256,0.60478,0.3707,0.34789,0.36599,1.57695,0.83176,0.0249086,0.0249086,0.0249086
14,577.641,0.48991,1.53963,0.89513,0.2672,0.55156,0.35224,0.3344,0.31946,1.568,0.82221,0.0244843,0.0244843,0.0244843
15,617.774,0.46601,1.47877,0.88886,0.3035,0.6489,0.38325,0.35909,0.33343,1.50194,0.82457,0.02406,0.02406,0.02406
16,657.959,0.44806,1.45319,0.88474,0.42828,0.5481,0.43294,0.41053,0.34545,1.41338,0.82926,0.0236357,0.0236357,0.0236357
17,697.887,0.43756,1.44916,0.88055,0.30711,0.58372,0.38943,0.36672,0.34923,1.50549,0.82076,0.0232114,0.0232114,0.0232114
18,737.943,0.4376,1.43407,0.87962,0.35946,0.69898,0.47936,0.45747,0.30982,1.24632,0.81261,0.0227871,0.0227871,0.0227871
19,778.625,0.43968,1.3866,0.87952,0.39968,0.56772,0.44752,0.42993,0.29665,1.35824,0.80771,0.0223629,0.0223629,0.0223629
20,818.888,0.44168,1.3585,0.88125,0.35504,0.67433,0.47993,0.4594,0.31971,1.34811,0.81454,0.0219386,0.0219386,0.0219386
21,859.241,0.44422,1.32353,0.87874,0.33996,0.47265,0.35572,0.33413,0.36246,1.62297,0.82598,0.0215143,0.0215143,0.0215143
22,900.051,0.43247,1.32102,0.87583,0.35971,0.68074,0.48244,0.46441,0.28543,1.21532,0.80221,0.02109,0.02109,0.02109
23,940.36,0.41373,1.27756,0.86947,0.44884,0.64311,0.52499,0.5029,0.30452,1.18524,0.80658,0.0206657,0.0206657,0.0206657
24,980.518,0.40987,1.26864,0.86846,0.35165,0.73827,0.46249,0.44805,0.27672,1.24375,0.8046,0.0202414,0.0202414,0.0202414
25,1020.86,0.40645,1.25569,0.87051,0.45683,0.71477,0.55139,0.52933,0.28307,1.11727,0.80111,0.0198171,0.0198171,0.0198171
26,1060.33,0.40347,1.22218,0.86709,0.40567,0.67682,0.4983,0.4799,0.2815,1.22956,0.80739,0.0193929,0.0193929,0.0193929
27,1100.3,0.39786,1.22038,0.86596,0.36568,0.67539,0.517,0.49725,0.28139,1.26317,0.80326,0.0189686,0.0189686,0.0189686
28,1140.91,0.38916,1.18813,0.86202,0.47021,0.71564,0.55629,0.53659,0.28191,1.09868,0.80208,0.0185443,0.0185443,0.0185443
29,1181.67,0.38764,1.16301,0.86477,0.41978,0.73946,0.52213,0.50975,0.25508,1.11034,0.79094,0.01812,0.01812,0.01812
30,1222.76,0.37914,1.1708,0.8598,0.44679,0.7654,0.56912,0.55232,0.26443,1.11346,0.80025,0.0176957,0.0176957,0.0176957
31,1264.23,0.37905,1.17087,0.85986,0.40952,0.82852,0.56781,0.55443,0.24932,1.03067,0.79325,0.0172714,0.0172714,0.0172714
32,1305.73,0.38362,1.16395,0.86112,0.52528,0.72625,0.61198,0.59575,0.24716,1.01997,0.7947,0.0168471,0.0168471,0.0168471
33,1346.29,0.36159,1.12103,0.85649,0.45098,0.75573,0.60105,0.58465,0.2441,1.05768,0.78768,0.0164229,0.0164229,0.0164229
34,1386.25,0.36657,1.12147,0.85855,0.43412,0.77752,0.56697,0.55453,0.24573,1.01289,0.79056,0.0159986,0.0159986,0.0159986
35,1425.84,0.35819,1.09317,0.85676,0.45813,0.8457,0.6191,0.60411,0.25832,1.00218,0.79185,0.0155743,0.0155743,0.0155743
36,1470.31,0.36425,1.09298,0.85825,0.45151,0.83835,0.60167,0.59195,0.2252,0.96282,0.78708,0.01515,0.01515,0.01515
37,1512.33,0.34397,1.06274,0.85124,0.46968,0.74822,0.57673,0.56467,0.24107,1.01152,0.78606,0.0147257,0.0147257,0.0147257
38,1556.29,0.35468,1.05949,0.85664,0.45333,0.78694,0.59119,0.57747,0.25235,1.00002,0.79118,0.0143014,0.0143014,0.0143014
39,1599.09,0.34797,1.05881,0.84905,0.46288,0.84212,0.61071,0.59831,0.23313,0.94532,0.78903,0.0138771,0.0138771,0.0138771
40,1640.35,0.34371,1.03416,0.84943,0.43914,0.80936,0.59399,0.58332,0.25616,1.01482,0.78851,0.0134529,0.0134529,0.0134529
41,1686.56,0.33907,1.03381,0.84372,0.48151,0.87839,0.63073,0.62145,0.21843,0.91952,0.78308,0.0130286,0.0130286,0.0130286
42,1737.31,0.33179,1.03048,0.84711,0.47874,0.84695,0.61531,0.60491,0.23845,0.92737,0.78941,0.0126043,0.0126043,0.0126043
43,1776.92,0.32485,1.01089,0.84316,0.4969,0.86039,0.61141,0.59858,0.23135,0.91735,0.78317,0.01218,0.01218,0.01218
44,1816.77,0.32784,1.01334,0.8417,0.48292,0.88845,0.64854,0.63875,0.22034,0.89101,0.78363,0.0117557,0.0117557,0.0117557
45,1856.63,0.32568,0.9937,0.84045,0.49534,0.8206,0.61431,0.60532,0.22266,0.95218,0.78603,0.0113314,0.0113314,0.0113314
