epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2737.93,0.2589,0.32877,0.82595,0.98541,0.95409,0.99366,0.98596,0.18739,0.18963,0.77572,0.000420143,0.000420143,0.000420143
43,2802.96,0.25689,0.31928,0.82577,0.983,0.96019,0.99133,0.98502,0.18288,0.18087,0.77342,0.000406,0.000406,0.000406
44,2867.91,0.25715,0.31942,0.8259,0.95129,0.97455,0.98983,0.98585,0.18058,0.18654,0.7739,0.000391857,0.000391857,0.000391857
45,2932.32,0.25553,0.30148,0.82524,0.97407,0.97451,0.98897,0.9832,0.18697,0.1803,0.7752,0.000377714,0.000377714,0.000377714
46,2997.02,0.2521,0.30902,0.82279,0.97251,0.97839,0.9921,0.98721,0.18015,0.18173,0.77541,0.000363571,0.000363571,0.000363571
47,3061.86,0.25148,0.3166,0.82395,0.98098,0.96969,0.98899,0.98199,0.16903,0.1779,0.77315,0.000349429,0.000349429,0.000349429
48,3126.27,0.2503,0.29995,0.82369,0.98014,0.97259,0.99001,0.98644,0.17112,0.16779,0.77147,0.000335286,0.000335286,0.000335286
49,3190.87,0.24608,0.29849,0.82578,0.96959,0.97414,0.98766,0.98196,0.17279,0.17489,0.77185,0.000321143,0.000321143,0.000321143
50,3255.94,0.23975,0.29292,0.82027,0.96734,0.98126,0.99455,0.99039,0.16104,0.16246,0.77069,0.000307,0.000307,0.000307
51,3321.9,0.24134,0.29285,0.82177,0.97693,0.9801,0.9937,0.98835,0.16099,0.15794,0.77185,0.000292857,0.000292857,0.000292857
52,3386.81,0.23796,0.2829,0.82401,0.98604,0.96041,0.99381,0.98975,0.16281,0.15701,0.77069,0.000278714,0.000278714,0.000278714
53,3451.66,0.24256,0.28381,0.82048,0.97854,0.97695,0.99226,0.98801,0.16778,0.15982,0.77253,0.000264571,0.000264571,0.000264571
54,3516.99,0.23352,0.27779,0.81714,0.96228,0.99188,0.99178,0.98874,0.16358,0.15363,0.77056,0.000250429,0.000250429,0.000250429
55,3581.78,0.22603,0.26913,0.81807,0.98765,0.97561,0.9922,0.98809,0.16085,0.15353,0.76995,0.000236286,0.000236286,0.000236286
56,3646.7,0.22693,0.26644,0.81937,0.98735,0.97536,0.99135,0.98926,0.15457,0.14955,0.76898,0.000222143,0.000222143,0.000222143
57,3711.42,0.22653,0.27304,0.82125,0.98237,0.97681,0.99273,0.98926,0.15433,0.14475,0.76909,0.000208,0.000208,0.000208
58,3776.31,0.22014,0.25441,0.81947,0.98783,0.97544,0.99229,0.98764,0.15475,0.14417,0.76951,0.000193857,0.000193857,0.000193857
59,3840.85,0.21749,0.24948,0.81498,0.98697,0.97675,0.99444,0.98948,0.15806,0.15009,0.77063,0.000179714,0.000179714,0.000179714
60,3905.76,0.22221,0.26076,0.81908,0.98732,0.9725,0.99228,0.98968,0.15887,0.14932,0.77051,0.000165571,0.000165571,0.000165571
61,3969.51,0.16957,0.18823,0.78428,0.98488,0.97692,0.99157,0.98938,0.15497,0.14423,0.76906,0.000151429,0.000151429,0.000151429
62,4032.31,0.16863,0.18399,0.78573,0.98855,0.97692,0.99289,0.98913,0.15537,0.14754,0.76884,0.000137286,0.000137286,0.000137286
63,4095.37,0.16514,0.17207,0.78323,0.98654,0.98011,0.99334,0.99135,0.15951,0.14338,0.76905,0.000123143,0.000123143,0.000123143
64,4159.18,0.16088,0.17016,0.77909,0.95768,0.99441,0.99321,0.98911,0.15284,0.13757,0.76835,0.000109,0.000109,0.000109
65,4221.36,0.15804,0.17127,0.78381,0.95649,0.99601,0.9928,0.9902,0.15197,0.13571,0.76864,9.48571e-05,9.48571e-05,9.48571e-05
66,4283.88,0.15674,0.16806,0.77948,0.96576,0.99462,0.99219,0.99009,0.1486,0.13434,0.76831,8.07143e-05,8.07143e-05,8.07143e-05
67,4347.16,0.15673,0.17036,0.77825,0.96631,0.9941,0.9935,0.99049,0.14586,0.13235,0.76811,6.65714e-05,6.65714e-05,6.65714e-05
68,4410.19,0.1534,0.15666,0.78233,0.96211,0.99404,0.9934,0.99069,0.14351,0.12906,0.76757,5.24286e-05,5.24286e-05,5.24286e-05
69,4472.6,0.15008,0.14748,0.77926,0.9622,0.99542,0.99415,0.99232,0.1416,0.12437,0.76715,3.82857e-05,3.82857e-05,3.82857e-05
70,4535.87,0.14973,0.15914,0.78304,0.96712,0.99495,0.99416,0.99097,0.14192,0.12422,0.76702,2.41429e-05,2.41429e-05,2.41429e-05
