epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.6461,0.7711,3.36666,1.01428,0.01931,0.11836,0.0141,0.00434,2.28229,19.8041,4.38688,0.0704615,0.00328205,0.00328205
2,87.4494,0.68225,2.4705,0.96231,0.25167,0.23274,0.07639,0.06014,0.66768,7.22783,1.02645,0.040368,0.00652182,0.00652182
3,127.974,0.66936,2.26941,0.94654,0.13064,0.15948,0.03114,0.02566,1.02859,4.40337,1.52381,0.0101801,0.00966731,0.00966731
4,167.981,0.58351,2.06653,0.91775,0.27616,0.1022,0.05873,0.05078,1.13589,4.50542,1.5887,0.00957571,0.00957571,0.00957571
5,232.137,0.54317,1.90755,0.90154,0.3301,0.36658,0.2024,0.18338,0.44999,2.6736,0.87431,0.00943429,0.00943429,0.00943429
6,297.116,0.53728,1.79243,0.89959,0.35558,0.43885,0.27756,0.25755,0.39385,1.851,0.82814,0.00929286,0.00929286,0.00929286
7,338.427,0.50563,1.72876,0.8831,0.33452,0.3537,0.19029,0.17254,0.5733,2.75542,1.06747,0.00915143,0.00915143,0.00915143
8,381.394,0.49814,1.66401,0.88008,0.36226,0.42542,0.28155,0.26426,0.35043,1.8897,0.81442,0.00901,0.00901,0.00901
9,423.567,0.48036,1.56297,0.87835,0.3842,0.46207,0.29414,0.26495,0.42346,2.5802,0.84961,0.00886857,0.00886857,0.00886857
10,466.122,0.47979,1.58414,0.87937,0.41406,0.44975,0.30401,0.2849,0.35574,1.9762,0.80921,0.00872714,0.00872714,0.00872714
11,507.374,0.45028,1.48712,0.87113,0.35158,0.6217,0.41756,0.39836,0.32388,1.45199,0.80415,0.00858571,0.00858571,0.00858571
12,548.73,0.45429,1.40913,0.86843,0.35656,0.5422,0.3892,0.36538,0.34946,1.62017,0.81161,0.00844429,0.00844429,0.00844429
13,591.278,0.4467,1.39334,0.86312,0.44279,0.33795,0.2878,0.26171,0.37921,2.24892,0.82255,0.00830286,0.00830286,0.00830286
14,633.508,0.45557,1.35604,0.86688,0.40119,0.55626,0.42688,0.40755,0.31463,1.50051,0.79836,0.00816143,0.00816143,0.00816143
15,674.573,0.42743,1.29913,0.85878,0.40865,0.58246,0.45819,0.43106,0.35635,1.36831,0.80975,0.00802,0.00802,0.00802
16,718.364,0.40676,1.26038,0.85596,0.47332,0.64552,0.49116,0.46888,0.31225,1.21792,0.79276,0.00787857,0.00787857,0.00787857
17,760.233,0.40291,1.23279,0.85376,0.39073,0.70929,0.51929,0.49974,0.28648,1.22473,0.79132,0.00773714,0.00773714,0.00773714
18,802.435,0.39026,1.21514,0.85165,0.4574,0.79137,0.54793,0.53346,0.27279,1.02623,0.78619,0.00759571,0.00759571,0.00759571
19,841.096,0.38313,1.1998,0.84992,0.41595,0.74575,0.55813,0.54034,0.2733,1.08446,0.7859,0.00745429,0.00745429,0.00745429
20,878.708,0.39901,1.1742,0.85219,0.39496,0.6283,0.48564,0.46944,0.27952,1.28535,0.78769,0.00731286,0.00731286,0.00731286
21,917.112,0.40073,1.14701,0.85328,0.43094,0.74819,0.57395,0.55453,0.27528,1.12183,0.78524,0.00717143,0.00717143,0.00717143
22,955.702,0.38884,1.13497,0.85066,0.48515,0.75488,0.60923,0.5908,0.26516,1.02332,0.78676,0.00703,0.00703,0.00703
23,994.743,0.37976,1.10435,0.84351,0.45584,0.78826,0.61027,0.58798,0.28598,1.04754,0.78949,0.00688857,0.00688857,0.00688857
24,1034.01,0.3687,1.08194,0.84339,0.39553,0.79109,0.56335,0.54977,0.26064,1.05375,0.78224,0.00674714,0.00674714,0.00674714
25,1073.32,0.3672,1.07063,0.84483,0.42614,0.83285,0.5745,0.55316,0.30168,1.00268,0.79409,0.00660571,0.00660571,0.00660571
26,1112.21,0.36723,1.0684,0.84258,0.44421,0.83174,0.59811,0.58498,0.25256,0.9281,0.78096,0.00646429,0.00646429,0.00646429
27,1153.86,0.36478,1.05911,0.84451,0.4522,0.72853,0.54235,0.51329,0.31478,1.22152,0.80447,0.00632286,0.00632286,0.00632286
28,1195.5,0.36123,1.05597,0.84136,0.47648,0.82368,0.6139,0.5972,0.2577,0.94701,0.78485,0.00618143,0.00618143,0.00618143
29,1235,0.35101,1.0324,0.84218,0.47731,0.85608,0.61939,0.60878,0.216,0.89386,0.77483,0.00604,0.00604,0.00604
30,1275.84,0.34654,1.03985,0.83899,0.47463,0.88769,0.61222,0.5988,0.22912,0.89191,0.77849,0.00589857,0.00589857,0.00589857
31,1318.25,0.34999,1.0208,0.84025,0.43143,0.85948,0.60644,0.59115,0.23893,0.9661,0.77902,0.00575714,0.00575714,0.00575714
32,1359.45,0.34876,1.01839,0.84017,0.44432,0.88518,0.60613,0.59167,0.24249,0.92407,0.77965,0.00561571,0.00561571,0.00561571
33,1402.64,0.34372,1.01071,0.84396,0.47087,0.89508,0.64366,0.63634,0.21552,0.86686,0.77236,0.00547429,0.00547429,0.00547429
34,1444.23,0.33915,1.00018,0.83853,0.51412,0.83747,0.65813,0.64896,0.22446,0.84985,0.77515,0.00533286,0.00533286,0.00533286
35,1485.57,0.32914,0.95818,0.8371,0.50901,0.88221,0.63913,0.62932,0.22405,0.85751,0.77417,0.00519143,0.00519143,0.00519143
36,1526.62,0.33066,0.96391,0.8377,0.5185,0.85827,0.65118,0.64219,0.21852,0.86969,0.77418,0.00505,0.00505,0.00505
37,1567.31,0.32638,0.96047,0.83207,0.49152,0.91358,0.66156,0.65073,0.22366,0.81809,0.77565,0.00490857,0.00490857,0.00490857
38,1608.19,0.3323,0.93432,0.83762,0.50771,0.92089,0.65635,0.64805,0.22095,0.83154,0.77399,0.00476714,0.00476714,0.00476714
39,1650.88,0.31676,0.93059,0.82931,0.50856,0.89825,0.65663,0.65179,0.21112,0.8479,0.77239,0.00462571,0.00462571,0.00462571
40,1692.2,0.32211,0.92997,0.83012,0.48402,0.93811,0.67035,0.66024,0.23183,0.78996,0.77624,0.00448429,0.00448429,0.00448429
41,1734.11,0.30901,0.90952,0.82921,0.522,0.90326,0.65956,0.65183,0.20555,0.80904,0.77224,0.00434286,0.00434286,0.00434286
42,1774.17,0.30751,0.91165,0.8307,0.47083,0.90254,0.64948,0.64466,0.2027,0.80069,0.76956,0.00420143,0.00420143,0.00420143
43,1815.86,0.3012,0.89906,0.82788,0.53378,0.92109,0.69794,0.69069,0.20582,0.77943,0.77117,0.00406,0.00406,0.00406
44,1857.41,0.29574,0.89696,0.82367,0.48638,0.97115,0.6517,0.64539,0.20265,0.78917,0.76961,0.00391857,0.00391857,0.00391857
45,1898.46,0.2929,0.8761,0.82356,0.49509,0.94817,0.66726,0.66069,0.19617,0.80123,0.76974,0.00377714,0.00377714,0.00377714
46,1940.19,0.29968,0.89264,0.82383,0.48438,0.97129,0.68691,0.68046,0.19839,0.8009,0.7692,0.00363571,0.00363571,0.00363571
47,1981.73,0.29448,0.89045,0.82769,0.46496,0.95201,0.67355,0.6661,0.19745,0.80016,0.76811,0.00349429,0.00349429,0.00349429
48,2023.09,0.29399,0.87029,0.82811,0.49043,0.9352,0.696,0.69126,0.1925,0.81051,0.768,0.00335286,0.00335286,0.00335286
49,2064.96,0.28643,0.85238,0.82634,0.50914,0.92682,0.72551,0.71746,0.20336,0.75687,0.76987,0.00321143,0.00321143,0.00321143
50,2105.8,0.28519,0.83267,0.82645,0.51988,0.91344,0.73056,0.72402,0.1965,0.74218,0.76857,0.00307,0.00307,0.00307
51,2145.81,0.28952,0.82169,0.82728,0.48052,0.80803,0.63779,0.63027,0.20576,0.92814,0.77039,0.00292857,0.00292857,0.00292857
52,2185.41,0.28045,0.77291,0.82719,0.68605,0.84732,0.87231,0.86673,0.18421,0.61052,0.76734,0.00278714,0.00278714,0.00278714
53,2224.85,0.28742,0.76447,0.82444,0.61258,0.81681,0.81023,0.80458,0.19186,0.63694,0.76831,0.00264571,0.00264571,0.00264571
54,2266.13,0.27107,0.71422,0.82318,0.75798,0.8534,0.90645,0.90042,0.18881,0.52068,0.76728,0.00250429,0.00250429,0.00250429
55,2308.36,0.27508,0.69096,0.82696,0.57952,0.88188,0.7961,0.79172,0.18662,0.77351,0.76707,0.00236286,0.00236286,0.00236286
