epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,750.676,0.63033,3.679,0.92252,0.0093,0.38423,0.05956,0.05475,0.39277,3.45259,0.79511,0.0675077,0.000328205,0.000328205
2,794.571,0.53721,2.69388,0.89341,0.46165,0.33872,0.21584,0.20212,0.36373,2.36747,0.81421,0.0344983,0.000652182,0.000652182
3,838.847,0.49037,2.24116,0.88311,0.42598,0.40904,0.31147,0.29737,0.34919,1.98792,0.81564,0.00147955,0.000966731,0.000966731
4,883.402,0.48291,1.94592,0.88108,0.47567,0.53207,0.35465,0.33384,0.35562,1.85163,0.81149,0.000957571,0.000957571,0.000957571
5,927.667,0.4663,1.74993,0.87919,0.46136,0.57315,0.41948,0.39813,0.34821,1.51836,0.81053,0.000943429,0.000943429,0.000943429
6,972.052,0.44255,1.60555,0.86974,0.41037,0.61576,0.46377,0.44471,0.32453,1.50628,0.80388,0.000929286,0.000929286,0.000929286
7,1016.08,0.43149,1.54432,0.8676,0.36589,0.6672,0.457,0.42969,0.358,1.56835,0.8133,0.000915143,0.000915143,0.000915143
8,1059.66,0.41802,1.46548,0.86206,0.43087,0.71232,0.53188,0.51144,0.32225,1.24958,0.79886,0.000901,0.000901,0.000901
9,1104.22,0.40088,1.38219,0.85679,0.49021,0.69527,0.54507,0.52771,0.28213,1.21225,0.79383,0.000886857,0.000886857,0.000886857
10,1148.37,0.39315,1.32904,0.85714,0.40557,0.68372,0.51566,0.50183,0.27669,1.23549,0.78624,0.000872714,0.000872714,0.000872714
11,1191.9,0.39358,1.29967,0.85396,0.45332,0.78543,0.56796,0.55191,0.27518,1.13201,0.79079,0.000858571,0.000858571,0.000858571
12,1236.61,0.37537,1.24073,0.85369,0.47538,0.80519,0.6281,0.61038,0.27349,1.08748,0.78963,0.000844429,0.000844429,0.000844429
13,1280.88,0.37657,1.22937,0.85249,0.49554,0.77954,0.61504,0.5995,0.26743,1.07273,0.78737,0.000830286,0.000830286,0.000830286
14,1324.52,0.36465,1.18784,0.85032,0.49077,0.78591,0.62937,0.61843,0.25859,1.07918,0.78529,0.000816143,0.000816143,0.000816143
15,1369.17,0.36366,1.13032,0.85025,0.4147,0.76199,0.56187,0.5483,0.25802,1.29781,0.7833,0.000802,0.000802,0.000802
16,1412.61,0.35621,1.09024,0.84494,0.44202,0.74931,0.56455,0.54969,0.2766,1.18313,0.78738,0.000787857,0.000787857,0.000787857
