epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.2149,0.61429,3.62838,0.9356,0.01089,0.41529,0.05146,0.04736,0.41637,3.4345,0.81115,0.0675077,0.000328205,0.000328205
2,85.5421,0.50908,2.70286,0.90664,0.37761,0.35725,0.18796,0.17406,0.40025,2.37524,0.85449,0.0344983,0.000652182,0.000652182
3,125.735,0.49649,2.28317,0.90575,0.36369,0.47478,0.27365,0.25635,0.38087,2.22544,0.84905,0.00147955,0.000966731,0.000966731
4,165.75,0.47701,1.95488,0.89783,0.34544,0.53045,0.34045,0.31835,0.36868,1.79694,0.83271,0.000957571,0.000957571,0.000957571
5,205.383,0.44288,1.74528,0.8869,0.33606,0.53184,0.34948,0.3353,0.32149,1.63238,0.81934,0.000943429,0.000943429,0.000943429
6,245.653,0.43232,1.6193,0.88243,0.40482,0.62578,0.4611,0.44375,0.31195,1.55647,0.81957,0.000929286,0.000929286,0.000929286
7,285.558,0.43118,1.54989,0.88175,0.45542,0.61617,0.48712,0.46789,0.30415,1.44493,0.81278,0.000915143,0.000915143,0.000915143
8,325.678,0.40584,1.43922,0.87797,0.43895,0.61,0.49818,0.48206,0.29483,1.39564,0.81136,0.000901,0.000901,0.000901
9,366.29,0.39613,1.34959,0.86784,0.44982,0.69574,0.57624,0.56033,0.28089,1.26634,0.80593,0.000886857,0.000886857,0.000886857
10,407.061,0.38197,1.29173,0.86703,0.56261,0.60972,0.61302,0.59893,0.26667,1.19597,0.80373,0.000872714,0.000872714,0.000872714
11,448.244,0.38519,1.22222,0.86573,0.64278,0.54904,0.59516,0.57488,0.28837,1.26207,0.81313,0.000858571,0.000858571,0.000858571
12,490.492,0.37583,1.14803,0.86279,0.59658,0.72467,0.74003,0.72209,0.27677,1.01979,0.80822,0.000844429,0.000844429,0.000844429
13,530.985,0.36964,1.0342,0.86526,0.46808,0.71257,0.65792,0.64596,0.25019,1.24577,0.79575,0.000830286,0.000830286,0.000830286
14,571.737,0.35732,0.97817,0.85628,0.83615,0.68932,0.84681,0.82117,0.26256,0.74864,0.80694,0.000816143,0.000816143,0.000816143
